Year,Type,Country,Area,Location,Activity,Gender,Age,Fatal (Y/N)
2017.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",surfing,F,35.0,N
2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",paddling,F,10.0,N
2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",swimming,F,21.0,N
2017.0,Unprovoked,USA,Florida,"Daytona, Volusia County",swimming,M,16.0,N
2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,F,51.0,N
2017.0,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,other,M,39.0,N
2017.0,Unprovoked,USA,Florida,"Destin, Okaloosa County",swimming,F,17.0,N
2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,58.0,N
2017.0,Unprovoked,AUSTRALIA,New South Wales,The Farm,surfing,M,30.0,N
2017.0,"Valid, but unknown",USA,California,Monterey Bay,other,M,,N
2017.0,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",fishing,M,25.0,N
2017.0,Unprovoked,BAHAMAS,Great Exuma,,other,M,58.0,N
2017.0,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,other,F,,N
2017.0,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",surfing,M,,N
2017.0,Unprovoked,REUNION,Saint-Andre,,surfing,M,26.0,Y
2017.0,Unprovoked,AUSTRALIA,Queensland,Eva Rock,fishing,M,26.0,N
2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",swimming,M,22.0,N
2017.0,Provoked,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,other,F,,N
2017.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,fishing,M,,N
2017.0,Boating,USA,South Carolina,16 miles off Hilton Head,other,Unknown,,N
2017.0,Unprovoked,BAHAMAS,Bimini,,diving,M,37.0,N
2017.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",swimming,M,21.0,N
2017.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",unknown,M,,N
2017.0,Unprovoked,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",diving,M,55.0,N
2017.0,Unprovoked,AUSTRALIA,Queensland,Clairview,swimming,M,57.0,N
2017.0,Unprovoked,USA,Florida,Jensen Beach,unknown,M,,N
2017.0,Unprovoked,INDONESIA,Bali,Balian Beach,surfing,M,48.0,N
2017.0,Unprovoked,USA,Florida,"Blockhouse Beach, Brevard County",wading,M,47.0,N
2016.0,Unprovoked,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",surfing,M,16.0,N
2016.0,Unprovoked,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",other,F,,N
2016.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",surfing,M,55.0,N
2016.0,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,diving,M,61.0,N
2016.0,Unprovoked,FRENCH POLYNESIA,Tuamotos,Takapoto Atoll,fishing,M,,N
2016.0,Provoked,AUSTRALIA,New South Wales,Merimbula,fishing,M,20.0,N
2016.0,"Valid, but unknown",AUSTRALIA,New South Wales,Booti Booti National Park,surfing,M,65.0,N
2016.0,Provoked,AUSTRALIA,Victoria,Queenscliff,fishing,M,73.0,N
